Результаты соревнований

Группа МБ
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Сидоров Прохор;2007;I;01:06:47;;1;144,75;0;145
2;Фомин Валерий;2007;II;01:07:23;+00:00:36;2;72,38;47,38;120
3;Сибиряков Олег;2007;I;01:11:15;+00:04:28;3;48,25;41,80;90
4;Курнов Данил;2007;I;01:14:38;+00:07:51;4;36,19;36,91;73
5;Муравьёв Сергей;2008;I;01:19:39;+00:12:52;5;28,95;29,66;59
6;Капунов Олег;2008;Iю;01:21:08;+00:14:21;6;24,13;27,51;52
7;Трофимов Владимир;2007;I;01:24:37;+00:17:50;7;20,68;22,48;43
8;Гареев Николай;2007;III;01:31:28;+00:24:41;8;18,09;12,58;31
9;Баринов Арсений;2007;III;01:32:31;+00:25:44;9;16,08;11,07;27
10;Галянин Виталий;2008;III;01:33:26;+00:26:39;10;14,48;9,74;24
11;Тихонов Михаил;2008;III;01:42:09;+00:35:22;11;13,16;0;13
12;Цилин Иван;2007;III;01:53:37;+00:46:50;12;12,06;0;12
13;Деньгин Александр;2008;II;02:02:12;+00:55:25;13;11,13;0;11
14;Язовцев Станислав;2008;III;02:09:34;+01:02:47;14;10,34;0;10
15;Вольфензон Глеб;2007;Iю;02:14:33;+01:07:46;15;9,65;0;10
16;Митричев Дмитрий;2008;III;00:00:00;;;0;0;0
17;Шередин Роман;2008;;00:00:00;;;0;0;0
18;Трубников Михаил;2007;I;1.00:07:34;;;0;0;0
19;Франк Амир;2007;Iю;1.00:07:44;;;0;0;0
20;Казачек Алексей;2008;IIIю;1.00:07:51;;;0;0;0
21;Кротков Кирилл;2008;IIIю;1.00:07:52;;;0;0;0
22;Лосев Михаил;2008;II;8.00:07:40;;;0;0;0
23;Соловьёв Алексей;2007;IIю;8.00:07:50;;;0;0;0
24;Обшолов Данила;2008;IIIю;8.00:07:53;;;0;0;0


Группа Ж16
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Завадская Ольга;2006;КМС;01:09:19;;1;141,0;0;141
2;Плотникова Елизавета;2004;КМС;01:28:30;+00:19:11;2;70,50;20,99;91
3;Уральцева Карина;2006;I;01:30:29;+00:21:10;3;47,00;18,30;65
4;Дворянчикова Яна;2005;I;01:39:30;+00:30:11;4;35,25;6,07;41
5;Коробкова Алина;2006;I;01:41:14;+00:31:55;5;28,20;3,72;32
6;Садольская Эвелина;2005;I;1.00:03:21;;;0;0;0
7;Беляева Ольга;2006;Iю;1.00:03:26;;;0;0;0
8;Залялова Анжелика;2006;Iю;1.00:03:27;;;0;0;0


Группа М16
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Шевчук Дмитрий;2005;КМС;00:57:34;;1;134,65;0;135
2;Смирнов Александр;2005;I;00:59:18;+00:01:44;2;67,32;42,18;110
3;Репин Максим;2005;I;00:59:45;+00:02:11;3;44,88;41,48;86
4;Курюкин Егор;2006;II;00:59:56;+00:02:22;4;33,66;41,19;75
5;Петушков Алексей;2005;I;01:11:42;+00:14:08;5;26,93;22,84;50
6;Кротков Максим;2005;IIIю;01:22:41;+00:25:07;6;22,44;5,72;28
7;Климов Юрий;2005;Iю;02:14:22;+01:16:48;7;19,24;0;19
8;. ;;;00:00:00;;;0;0;0
9;Шененков Даниил;2005;I;1.00:08:24;;;0;0;0
10;Захаров Михаил;2006;III;1.00:08:27;;;0;0;0


Группа OPEN 2
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Николаев Александр;1956;I;00:43:22;;1;134,55;0;135
2;Баева Наталья;1989;МС;00:59:41;+00:16:19;2;67,28;11,10;78
3;Седов Сергей;1959;;01:01:03;+00:17:41;3;44,85;8,27;53
4;Красильникова Елена;1986;;01:06:42;+00:23:20;4;33,64;0;34
5;Жженова Татьяна;1992;II;01:18:30;+00:35:08;5;26,91;0;27
6;Тихонов Алексей;1980;;01:21:12;+00:37:50;6;22,43;0;22
7;Зингер Михаил;1980;;01:23:08;+00:39:46;7;19,22;0;19
8;Кириллова Александра;1990;;01:24:52;+00:41:30;8;16,82;0;17
9;Резюков Александр;1989;;01:29:46;+00:46:24;9;14,95;0;15
10;Белов Александр;1975;;01:38:25;+00:55:03;10;13,46;0;13
11;Казачек Семен;;;01:49:30;+01:06:08;11;12,23;0;12
12;Белов Денис;2004;III;01:51:01;+01:07:39;12;11,21;0;11
13;Чекунова Алла;;;00:00:00;;;0;0;0
14;Соколова Ольга;1989;;1.00:13:42;;;0;0;0
15;Пестрякова Наталья;1974;;1.00:13:45;;;0;0;0
16;Анцыгин Алексей;1982;КМС;1.00:13:55;;;0;0;0
17;Красильников Виталий;1985;КМС;8.00:13:41;;;0;0;0


Группа Ж40
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Палутина Светлана;1965;I;01:18:04;;1;128,05;0;128
2;Мартьянова Оксана;1964;МС;01:23:00;+00:04:56;2;64,02;37,29;101
3;Цветкова Евгения;1974;I;01:31:20;+00:13:16;3;42,68;28,18;71
4;Касаткина Елена;1962;II;01:33:03;+00:14:59;4;32,01;26,30;58
5;Уланкова Ольга;1975;;01:36:12;+00:18:08;5;25,61;22,85;48
6;Чекунова Алла;1978;;8.00:05:05;;;0;0;0


Группа Ж14
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Киселева Ксения;2008;I;00:28:56;;1;127,8;0;128
2;Агапова Екатерина;2007;I;00:34:48;+00:05:52;2;63,90;25,32;89
3;Рогожина Полина;2008;I;00:40:15;+00:11:19;3;42,60;9,28;52
4;Гордеева Василиса;2008;I;00:43:16;+00:14:20;4;31,95;0,39;32
5;Полуштайцева Вероника;2008;III;00:43:39;+00:14:43;5;25,56;0;26
6;Зингер Полина;2008;IIIю;01:03:01;+00:34:05;6;21,30;0;21
7;Ваганова Софья;2008;IIIю;01:05:56;+00:37:00;7;18,26;0;18
8;Рыжова Мария;2008;Iю;01:08:25;+00:39:29;8;15,98;0;16
9;Боровкова Анна;2007;II;01:14:26;+00:45:30;9;14,20;0;14
10;Калабина София;2008;IIIю;1.00:02:40;;;0;0;0
11;Кудинова Вероника;2008;II;1.00:02:41;;;0;0;0


Группа OPEN 1
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Барышников Сергей;1984;КМС;00:55:45;;1;125,05;0;125
2;Строкин Павел;1984;МС;01:12:21;+00:16:36;2;62,52;16,86;79
3;Логашов Александр;;;01:15:31;+00:19:46;3;41,68;12,12;54


Группа М60
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Лукьянов Александр;1952;КМС;00:49:35;;1;119,05;0;119
2;Жженов Сергей;1957;;00:52:05;+00:02:30;2;59,52;35,68;95
3;Святов Владимир;1949;I;01:05:10;+00:15:35;3;39,68;14,74;54
4;Додонов Евгений;1952;III;01:06:24;+00:16:49;4;29,76;12,77;43
5;Касаткин Анатолий;1953;II;01:10:39;+00:21:04;5;23,81;5,96;30


Группа М40
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Аверин Дмитрий;1971;III;01:29:12;;1;116,10;0;116
2;Дубов Дмитрий;1977;;01:33:21;+00:04:09;2;58,05;35,10;93
3;Залялов Наиль;1978;МС;01:36:37;+00:07:25;3;38,70;32,26;71
4;Капунов Андрей;1973;;01:51:52;+00:22:40;4;29,02;19,03;48


Группа М18
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Сибиряков Кирилл;2003;КМС;01:18:01;;1;115;0;115
2;Петров Дмитрий;2004;I;02:02:34;+00:44:33;2;57,5;0;58


Группа Ж18
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Антипова Елена;2003;КМС;00:59:37;;1;113;0;113
2;Баранова Яна;2004;II;01:48:27;+00:48:50;2;56,5;0;56
3;Штернова Марина;2003;КМС;8.00:04:11;;;0;0;0
4;Тихончук Анна;2004;I;8.00:04:13;;;0;0;0
5;Дырда София;2003;КМС;8.00:04:14;;;0;0;0
6;. ;;;8.00:04:16;;;0;0;0


Группа М12
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Родянский Дмитрий;2009;I;00:26:34;;1;112,40;0;112
2;Белозеров Роман;2009;I;00:27:00;+00:00:26;2;56,20;36,24;92
3;Бухлаков Артем;2009;IIIю;00:42:01;+00:15:27;3;37,47;0;37
4;Железков Глеб;2010;IIIю;00:47:47;+00:21:13;4;28,10;0;28
5;Надёжкин Артём;2010;Iю;00:50:43;+00:24:09;5;22,48;0;22
6;Макаров Никита;2010;Iю;01:05:16;+00:38:42;6;18,73;0;19
7;Сафонов Артём;2010;Iю;01:05:41;+00:39:07;7;16,06;0;16
8;Гувеннов Виктор;2009;IIIю;01:33:02;+01:06:28;8;14,05;0;14
9;Ямашкин Виктор;2009;IIIю;01:33:48;+01:07:14;9;12,49;0;12
10;Лебедев Иван;2010;IIIю;1.00:06:45;;;0;0;0
11;Большаков Иван;2010;;1.00:06:48;;;0;0;0
12;Дюдин Егор;2010;IIIю;1.00:06:50;;;0;0;0
13;Веревочкин Назарий;2010;IIIю;1.00:06:52;;;0;0;0
14;Нарышкин Матвей;2010;IIIю;1.00:06:53;;;0;0;0
15;Рогов Матвей;2009;;1.00:06:55;;;0;0;0


Группа Ж50
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Анкудинова Майя;1965;КМС;01:51:55;;1;110;0;110


Группа М50
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Савенков Владислав;1971;I;01:11:49;;1;106;0;106
2;Даниличев Аркадий;1965;III;01:24:17;+00:12:28;2;53,0;23,07;76


Группа Ж12
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Елисеева Алена;2009;III;00:27:52;;1;105,00;0;105
2;Весенко Мария;2009;Iю;00:31:51;+00:03:59;2;52,50;24,99;77
3;Терентьева Валерия;2009;II;00:33:02;+00:05:10;3;35,00;22,02;57
4;Носова Мария;2009;IIIю;00:43:25;+00:15:33;4;26,25;0;26
5;Козлова Ксения;2010;IIIю;00:45:55;+00:18:03;5;21,00;0;21
6;Лосева Екатерина;2010;IIIю;00:59:29;+00:31:37;6;17,50;0;18
7;Корсикова Маргарита;2009;IIIю;00:00:00;;;0;0;0
8;Ожиганова Анастасия;2009;;1.00:01:47;;;0;0;0
9;Бурнаева Екатерина;2010;;1.00:01:48;;;0;0;0


Группа Ж60
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Сучилова Галина;1956;;00:54:14;;1;103,05;0;103
2;Шестерикова Татьяна;1956;II;01:01:16;+00:07:02;2;51,52;25,44;77
3;Леванова Нина;1955;I;8.00:05:43;;;0;0;0


Группа М10
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Курнов Глеб;2011;;00:23:44;;1;101,30;0;101
2;Каракозов Петр;2011;;00:24:49;+00:01:05;2;50,65;30,68;81
3;Уланков Егор;2013;;00:26:01;+00:02:17;3;33,77;27,27;61
4;Милованов Тимофей;2011;IIIю;00:27:48;+00:04:04;4;25,32;22,19;48
5;Весенко Михаил;2011;III;00:29:15;+00:05:31;5;20,26;18,07;38
6;Сухарев Артём;2012;;00:29:35;+00:05:51;6;16,88;17,12;34


Группа Ж10
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Стоянова Альбина;2011;;00:27:33;;1;100,35;0;100
2;Агапова Надежда;2013;;00:31:54;+00:04:21;2;50,18;22,89;73
3;Казачек Елена;2013;;00:42:47;+00:15:14;3;33,45;0;33
4;Сорокина Александра;2011;;00:43:34;+00:16:01;4;25,09;0;25
5;Елисеева Галина;2013;;01:01:27;+00:33:54;5;20,07;0;20
6;Швецова Алина;2012;;1.00:12:31;;;0;0;0
7;Баранова Элина;2011;;1.00:12:32;;;0;0;0
8;Соловьёва Аня;2012;;8.00:12:35;;;0;0;0
9;Петухова Алиса;2011;;8.00:12:38;;;0;0;0


Группа РСД
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Цилин Григорий;2013;;01:11:47;;1;100,25;0;100
2;Казачек Виктория;2016;;01:13:54;+00:02:07;2;50,12;31,45;82
3;Бурнаев Андрей;2012;;1.00:11:46;;;0;0;0
4;Красильников Пётр;2017;;1.00:15:02;;;0;0;0
5;Сухенко Настя;2013;;1.00:15:04;;;0;0;0
6;Назим Данила;2016;;8.00:15:03;;;0;0;0
7;Морозова Валерия;2013;;8.00:15:05;;;0;0;0


Группа OPEN 3
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Рыжова Екатерина;1975;;00:44:52;;1;100,15;0;100
2;Петушкова Татьяна;2009;IIIю;00:50:08;+00:05:16;2;50,08;25,55;76
3;Шереметьев Александр;2007;;8.00:14:02;;;0;0;0


